bigram,frequency
hacker mudah,3
saya main,3
negeri konoha,3
bjorka nangkep,3
orang sudah,3
negara yang,3
jual tanah,3
anggota polri,3
ganti nama,3
mudah ketangkep,3
polisi tau,3
yesus duduk,3
duduk belah,3
nama hacker,3
data rakyat,3
undang onno,3
biar kalau,3
tidak lapor,3
ini polisi,3
saya saja,3
sadar kalau,3
harun mas,3
kalau hacker,3
salah nangkep,3
bjorka kelompok,3
pelihara negara,3
siplester saja,3
yang undang,3
suruh nangkep,3
bikin betah,3
hacker nya,3
saja tangkap,3
tidak bantu,3
perintah tidak,3
yang bener,3
nya instansi,3
tau orang,3
saja bjorka,3
ken tau,3
terima kasih,3
ded coba,3
malu nya,3
ngaku kalau,3
system safe,3
nangkep orang,3
dunia nyata,3
nyata saja,3
aneh nya,3
tangkep bjorka,3
buang buang,3
jual sawah,3
mah polisi,3
saja polisi,3
anak butuh,3
yang saya,3
yang jual,3
percaya bjorka,3
perintah yang,3
polisi anak,3
laku asli,3
bjorka rakyat,3
bisa nangkep,3
ditangkep polisi,3
sok nangkap,3
sok sok,3
tangkap judol,3
hacker nangkap,3
nangkep yang,3
empat foto,2
alam lapor,2
kalau kantor,2
tidak ubah,2
berita viral,2
yang jaga,2
pinter kurang,2
publikasi data,2
bukti korupsi,2
basmi korupsi,2
swasta negeri,2
bahak bahak,2
manusia yang,2
butuh prestasi,2
keluarga yang,2
tidak kurang,2
orang pintar,2
cari duit,2
isilop isilop,2
saya mah,2
anak pintar,2
dengar terang,2
masyarakat indonesia,2
orang masuk,2
konten youtube,2
tsunami fakta,2
kerja sulit,2
lari pagi,2
tidak ngaruh,2
polisi bilang,2
mayoritas rakyat,2
pelan pelan,2
jam lapang,2
itu tidak,2
gitu tidak,2
doang kerja,2
terang fakta,2
uang yang,2
polresta pangkal,2
pangkal pinang,2
bangka belitung,2
saja itu,2
bnyak orang,2
iya bener,2
yang rugi,2
kasih kertas,2
ktp atm,2
polisi cari,2
fakta banget,2
sudah rahasia,2
fakta nya,2
surat hilang,2
polisi jam,2
suruh lepasin,2
lapor ilang,2
sudah seperti,2
sekolah nya,2
saya orang,2
tuju kalau,2
tni tidak,2
motor nya,2
nya anggota,2
habis foto,2
fakta polisi,2
jadi yang,2
biar polisi,2
nyuruh orang,2
