bigram,frequency
kerja yang,3
cari kambing,3
tidak yaa,3
bobrok institusi,3
kantor polisi,3
gila tidak,3
memang lawak,3
banget bang,3
kalau ngomong,3
ngomong suka,3
polisi patroli,3
tidak heran,3
dari situ,3
instansi perintah,3
luas tanah,3
tanah luas,3
luas bangun,3
lokasi jln,3
jln kedung,3
kedung baruk,3
jln raya,3
yang maling,3
yang ambil,3
saja lapor,3
susah kalau,3
bener bang,3
polisi pake,3
banget liat,3
saya ketangkep,3
kaya gitu,3
gua gua,3
tidak berani,3
kali polisi,3
yang komen,3
motor lapor,3
gitu saja,3
warga negara,3
temen yang,3
polisi negara,3
negara polisi,3
kena tipu,3
tidak liat,3
ijazah palsu,3
lucu banget,3
nya bilang,3
kena prank,3
sok tau,3
cari kerja,3
polisi malu,3
hacker nangkep,3
perintah konoha,3
data koruptor,3
tangkap tidak,3
tidak dpt,3
tau yang,3
tau saja,3
orang korup,3
bjorka trus,3
yang gua,3
ketawa liat,3
gua yang,3
tegak hukum,3
bang saya,3
ambil data,3
yang main,3
sudah gitu,3
negara saja,3
sudah tangkap,3
tapi bjorka,3
bjorka alih,3
yang nama,3
susah nangkep,3
aman cyber,3
keras kepala,3
asli nya,3
anak bangsa,3
web perintah,3
kek sudah,3
polisi tangkap,3
malu tidak,3
judol tidak,3
bjorka haha,3
kenapa hacker,3
tidak harga,3
judol bandar,3
cctv saja,3
atm kosong,3
judol itu,3
tangkap main,3
keren polisi,3
indo yang,3
tangkap nya,3
bikin lapor,3
ahli cyber,3
milik akun,3
orang saja,3
saja males,3
yang gede,3
yang masuk,3
yang pake,3
latih hacker,3
bjorka bjorka,3
jabat tidak,3
bjorka jadi,3
ketangkep warga,3
banyak nonton,3
inget film,3
lucu polisi,3
hacker mudah,3
saya main,3
negeri konoha,3
bjorka nangkep,3
orang sudah,3
negara yang,3
jual tanah,3
anggota polri,3
ganti nama,3
mudah ketangkep,3
polisi tau,3
yesus duduk,3
duduk belah,3
nama hacker,3
data rakyat,3
undang onno,3
tidak lapor,3
ini polisi,3
sadar kalau,3
harun mas,3
kalau hacker,3
salah nangkep,3
bjorka kelompok,3
pelihara negara,3
siplester saja,3
yang undang,3
suruh nangkep,3
bikin betah,3
hacker nya,3
saja tangkap,3
tidak bantu,3
perintah tidak,3
yang bener,3
nya instansi,3
tau orang,3
saja bjorka,3
ken tau,3
ded coba,3
malu nya,3
ngaku kalau,3
system safe,3
nangkep orang,3
dunia nyata,3
nyata saja,3
aneh nya,3
tangkep bjorka,3
buang buang,3
jual sawah,3
mah polisi,3
saja polisi,3
anak butuh,3
yang jual,3
percaya bjorka,3
perintah yang,3
polisi anak,3
laku asli,3
bjorka rakyat,3
bisa nangkep,3
ditangkep polisi,3
sok nangkap,3
sok sok,3
tangkap judol,3
hacker nangkap,3
nangkep yang,3
empat foto,2
alam lapor,2
kalau kantor,2
tidak ubah,2
berita viral,2
yang jaga,2
pinter kurang,2
publikasi data,2
bukti korupsi,2
basmi korupsi,2
swasta negeri,2
bahak bahak,2
manusia yang,2
butuh prestasi,2
keluarga yang,2
tidak kurang,2
orang pintar,2
cari duit,2
isilop isilop,2
saya mah,2
anak pintar,2
dengar terang,2
masyarakat indonesia,2
orang masuk,2
konten youtube,2
tsunami fakta,2
kerja sulit,2
lari pagi,2
tidak ngaruh,2
polisi bilang,2
mayoritas rakyat,2
pelan pelan,2
jam lapang,2
gitu tidak,2
doang kerja,2
terang fakta,2
uang yang,2
polresta pangkal,2
pangkal pinang,2
bangka belitung,2
bnyak orang,2
iya bener,2
yang rugi,2
kasih kertas,2
ktp atm,2
polisi cari,2
fakta banget,2
sudah rahasia,2
fakta nya,2
surat hilang,2
polisi jam,2
suruh lepasin,2
lapor ilang,2
sekolah nya,2
saya orang,2
tuju kalau,2
tni tidak,2
motor nya,2
nya anggota,2
habis foto,2
fakta polisi,2
biar polisi,2
nyuruh orang,2
anak smp,2
bang sudah,2
sudah bang,2
mabes tidak,2
yang mas,2
gua tuju,2
baca tidak,2
terang terang,2
institusi yang,2
mas mas,2
uang jajan,2
kena musibah,2
gaji kerja,2
yang oknum,2
saja bayar,2
bayar tidak,2
enak jadi,2
laka lantas,2
urus jasa,2
uang ribu,2
ribu tidak,2
polisi foto,2
pintu masuk,2
sampe sekarang,2
kerja sesuai,2
tapi kerja,2
bayar habis,2
assalamualaikum jual,2
jual rumah,2
rumah dengan,2
dengan harga,2
kosong luas,2
bangun mpersegi,2
mpersegi cocok,2
cocok usahadan,2
usahadan rumah,2
rumah pribadi,2
pribadi lokasi,2
baruk sby,2
sby timur,2
timur persis,2
persis indomart,2
indomart rumah,2
rumah ininol,2
ininol jln,2
raya jual,2
jual cuman,2
cuman harga,2
kosong sajasurat,2
sajasurat shm,2
