username,comment,time
@setyaalfitrah8659,"betul, saya juga sering liat, polisi poto2 doang. perutnya buncit2 pula. 🤐",2 hari yang lalu
@ferrultrasncfc,oalah wkwkwk,2 hari yang lalu
@alfiqranian7933,kelas,2 hari yang lalu
@thedjonoasli,"faktaa !! pernah dulu alm kakak punya bayi, depan rumah persis ada warung soto pake live musik & ganggu banget, volume keras pol, yang nyanyi mabok,, yang punya udah ditegur gak ngaruh, lapor pak rt, rtnya kakak yang punya warung lapor ke babinsa suruh ke kantor (polsek) sampe polsek polisi bilang terang2an : punya duit berapa mas buat ngurusin urusan begituan ??! kan anjeng ?!!!",2 hari yang lalu
@suryantoyanto1986,betul banget ...polri raport nya metah bingit,2 hari yang lalu
@renddiraya4464,yah cerminan mayoritas rakyat indonesia lah wkwkwkkw,2 hari yang lalu
@ferdikuncoro0484,pelan pelan bang😂,2 hari yang lalu
@anggaaditya4164,posisi gonjang ganjing,2 hari yang lalu
@dinogamingchannel,"lagian, masa' oknum satu indonesia kan bg? hahahaha",2 hari yang lalu
@darma_di,"katanya pengaman masyarakat,, kerjanya aja cuman 8jam 2jam di lapangan pagi doank.. itupun gk 7x24jam.. paling 2x dlm seminggu. parah bed.",2 hari yang lalu
@miyaditara,polisi gitu semua ga ada kata oknum,2 hari yang lalu
@saturdaynightboys,ko bener sihb😂😂😂,2 hari yang lalu
@mikhasuryaatmaja,tepat !!!,2 hari yang lalu
@donworry539,"betul banget, pada makan gaji buta doang kerjanya 😏",2 hari yang lalu
@triaditya4694,giliran g pke helm pas ditikungan udah ada bae yg nyegat buat nilang😂,2 hari yang lalu
@lizenpetualang4181,lah iya kok betul....hedeh hedeh,2 hari yang lalu
@naufalkurniawan5578,dihujani terangnya fakta😅,2 hari yang lalu
@erwan4359,"saya juga pernah ditilang dan dimintain uang sebesar 250k. yg lebih hebatnya lgi pungli tersebut dilakukan secara besar-besaran dan ramai yg dilakukan didalam kantor polresta pangkal pinang bangka belitung. ingat di dalam kantor loh bukan diluar dan korbannya pun 20-30 org mungkin lebih, hitung aja tuh 250×30 org. polisi yg terlibat jg bnyak 10 org lebih mungkin. jdi itu bukan oknum lagi tpi emg polisi. saya sebut lagi tempat nya yaitu polresta pangkal pinang provinsi kepulauan bangka belitung.",2 hari yang lalu (diedit)
@ojicastrol,fakta,2 hari yang lalu
@danangfebrianto1519,terlalu bersinar ini,2 hari yang lalu
@erlanggasamudra3538,"bang pelan pelan, jangan kasih fakta seterang ini 😅",2 hari yang lalu
@rizkipebriansyah2157,jujur amat😅,2 hari yang lalu
@aldisetiawan9205,rill tsunami fakta gak terbendung😂,2 hari yang lalu
@suartamayasa-c4p,😢,2 hari yang lalu
@rezkyramdhan-r3b,"polisi nyrik heker mana bisa, kalau jadi tukang intimidasi sama bekingan perusahaan baru top 1 dunia",2 hari yang lalu
@ammarzone-tv,"lah iya bener 😂😂😂, awas bang takutnya ada tukang nasi goreng lewat depan rumah bawa beceng 😂😂",2 hari yang lalu
@yanferisitorus1776,"priiittt, tunjukkan sim dan stnk.
kesalahan bapak terlalu banyak fakta 😂",2 hari yang lalu
@eyesflowersrelaxing150,"betul saya ada kehilangan 2 kali kendaran kaga ada tindak lanjut bertahun-tahun, ujung"" ikhlas males lapor percuma",2 hari yang lalu
@emensantoso2869,terlalu silau bang,2 hari yang lalu
