username,comment,time
@zeanrea5287,"bener sih, padahal harusnya patroli rutin, jadi mencegah kejahatan, lha ini mencegah kagak, kalo warga nangkep malingnya malah dibebasin",2 hari yang lalu
@L.334-e9l,jangankan Bjorka yg level dewa bandar judol yg di depan mata aja gak mampu mereka tangkap 😂😂,2 hari yang lalu
@setyaalfitrah8659,"Betul, saya juga sering liat, polisi poto2 doang. Perutnya buncit2 pula. 🤐",2 hari yang lalu
@FerrULTRASNCFC,Oalah wkwkwk,2 hari yang lalu
@alfiqranian7933,kelas,2 hari yang lalu
@thedjonoasli,"Faktaa !! Pernah Dulu Alm Kakak Punya Bayi, Depan Rumah Persis Ada Warung Soto Pake Live Musik & Ganggu Banget, Volume Keras PoL, Yang Nyanyi Mabok,, Yang Punya Udah Ditegur Gak Ngaruh, Lapor Pak RT, RTnya Kakak Yang Punya Warung Lapor Ke Babinsa Suruh Ke Kantor (Polsek) Sampe Polsek Polisi Bilang Terang2an : Punya Duit Berapa Mas Buat Ngurusin Urusan Begituan ??! Kan Anjeng ?!!!",2 hari yang lalu
@suryantoyanto1986,Betul banget ...polri raport nya metah bingit,2 hari yang lalu
@renddiraya4464,yah cerminan mayoritas rakyat Indonesia lah wkwkwkkw,2 hari yang lalu
@ferdikuncoro0484,pelan pelan bang😂,2 hari yang lalu
@anggaaditya4164,Posisi gonjang ganjing,2 hari yang lalu
@DinoGamingChannel,"Lagian, masa' oknum satu Indonesia kan bg? Hahahaha",2 hari yang lalu
@darma_di,"Katanya pengaman masyarakat,, kerjanya aja cuman 8jam 2jam di lapangan pagi doank.. Itupun gk 7x24jam.. Paling 2x dlm seminggu. Parah bed.",2 hari yang lalu
@Miyaditara,Polisi gitu semua ga ada kata oknum,2 hari yang lalu
@saturdaynightboys,Ko bener sihb😂😂😂,2 hari yang lalu
@mikhasuryaatmaja,TEPAT !!!,2 hari yang lalu
@donworry539,"betul banget, pada makan gaji buta doang kerjanya 😏",2 hari yang lalu
@triaditya4694,Giliran g pke helm pas ditikungan udah ada bae yg nyegat buat nilang😂,2 hari yang lalu
@lizenpetualang4181,Lah iya kok betul....hedeh hedeh,2 hari yang lalu
@naufalkurniawan5578,Dihujani terangnya fakta😅,2 hari yang lalu
@erwan4359,"Saya juga pernah ditilang dan dimintain uang sebesar 250k. Yg lebih hebatnya lgi pungli tersebut dilakukan secara besar-besaran dan ramai yg dilakukan DIDALAM KANTOR POLRESTA PANGKAL PINANG BANGKA BELITUNG. ingat di dalam kantor loh bukan diluar dan korbannya pun 20-30 org mungkin lebih, hitung aja tuh 250×30 org. Polisi yg terlibat jg bnyak 10 org lebih mungkin. Jdi itu bukan oknum lagi tpi emg POLISI. saya sebut lagi tempat nya yaitu POLRESTA PANGKAL PINANG PROVINSI KEPULAUAN BANGKA BELITUNG.",2 hari yang lalu (diedit)
@OjiCastrol,Fakta,2 hari yang lalu
@danangfebrianto1519,Terlalu bersinar ini,2 hari yang lalu
@erlanggasamudra3538,"Bang pelan pelan, jangan kasih fakta seterang ini 😅",2 hari yang lalu
@rizkipebriansyah2157,Jujur amat😅,2 hari yang lalu
@aldisetiawan9205,rill tsunami fakta gak terbendung😂,2 hari yang lalu
@SuartamaYasa-c4p,😢,2 hari yang lalu
@RezkyRamdhan-r3b,"Polisi nyrik heker mana bisa, kalau jadi tukang intimidasi sama bekingan perusahaan baru top 1 dunia",2 hari yang lalu
@ammarzone-tv,"Lah iya bener 😂😂😂, awas bang takutnya ada tukang nasi goreng lewat depan rumah bawa beceng 😂😂",2 hari yang lalu
@yanferisitorus1776,"Priiittt, tunjukkan SIM dan STNK.
Kesalahan bapak terlalu banyak fakta 😂",2 hari yang lalu
@eyesflowersrelaxing150,"Betul saya ada kehilangan 2 kali kendaran kaga ada tindak lanjut bertahun-tahun, ujung"" ikhlas males lapor percuma",2 hari yang lalu
@emensantoso2869,Terlalu silau bang,2 hari yang lalu
@PutraHambalang,Asumsi dan cerita orang😂😂,2 hari yang lalu
@irossalya2358,Lahhhh kenapa sama dengan daerah ku 😂,2 hari yang lalu
@DavinaDebyKalimazahwa,Yg di tangkep orang yg merugikan bandar judol,2 hari yang lalu
@anasumanah5158,"Kehilangan apa dulu bu ? SAYA DI HONG KONG KEhilangan dopet uang ,HP ,ktp hong kong ,ATM Hk. Lapor polisi hong kong cuma di kasih kertas laporan bawah saya kehilangan ktp dan AtM.  Dan saya bikin baru ktp dan atm. Dan polisi tidak mungkin mencari tas saya yg hilang . Tinggal apa yg hilang bu .Bodoh sekali km",2 hari yang lalu
@andreKemang,Fakta bgt,2 hari yang lalu
@JoelFarhan,Namanya terlalu robot nih🤣,2 hari yang lalu
@prauhahuha,"awok"" wadidaw.....😂😂😂",2 hari yang lalu
@ismailmarzuki6417,Udah jadi rahasia umum dan ga akan pernah berubah,2 hari yang lalu
@ikgodanins2nd962,eitssss😂,2 hari yang lalu
@justme-hanna,Saya lapor polisi adik saya hilang sampai 3 thn sekarang dan FAKTA NYA POLISINYA MINTA UANG BIAR BISA NYARI  !!!!!!!!!!!!!,2 hari yang lalu
@rezarenaldy-ku5wg,🔥🔥🔥🔥,2 hari yang lalu
@EdoBaceng,"Kok sama 😅 bikin surat kehilangan motor aja di suruh bayar 2,5jt dalam sebulan di puter2 terus baru jadi. Kalo mau di tindak lanjuti di minta separo dari harga motor",2 hari yang lalu
@roisulharis-pc9wz,REAL!,2 hari yang lalu
@kecebongsakti2337,"gw nangkap maling,lapor polisi,2 jam baru datang,setelah datang di suruh lepasin maling nya,isilop malah minta sama maling 5jt biar di lepas,udh hancur negri ini",2 hari yang lalu
@renapurwanti5911,Baru juga seminggu gw liat polisi pas pagi d poto.doang perepatan lngsung pulanh lagi dia wkwk,2 hari yang lalu
@horegprigen2503,fakta,2 hari yang lalu
@anrgaming8837,Emang sudah bener REFORMASI POLISI,2 hari yang lalu
@ANTONIUS-l2r,"Keluarga Saya malah diperas polisi, dia kerjasama sama oknum pejabat kelurahan. Nuntut 1 M untuk kesalahan yg tidak pernah kami lakukan.",2 hari yang lalu
@ArdoSaputra1993,Lapor ilang motor malah eh prosesnya dah kayak ilang mobil,2 hari yang lalu
@yanuarpamungkas1634,kinggg 👑👑👑👑,2 hari yang lalu
@ilmawati5584,"Betul..motor hilang ditemukan..ngambil malah dipalak sm kanit reskrim, ank buahnya pada mnta duit rokok...parah wes",2 hari yang lalu
@ibulpang,Anda jujur sekaliiiii🎉,2 hari yang lalu
@andry_sutanto1986,"Bener sekali anda😂😂😂, waktu nganter anak ku sekolah bukan nya ngebantu nyebrangin anak anak sekolah malah asyik foto foto buat laporan biar keliatan kerja😂😂😂. jadinya aku sebrangi sendiri anakku",2 hari yang lalu
@siskadwirahma9053,FAKTA yg tidak bisa di tutupi,2 hari yang lalu
@U.R.Crristiano7,Gw orang yg paling setuju  kalo institusi kepolisian ada di bawah TNI. Gak ada kapolri kapolrian,2 hari yang lalu
@vizarpermana4796,"Apalagi gua bang. Kena begal masih bersyukur ngga diapa-apain cumn di ambil doang motor nya. Masa anggota Nya ngomong . "" Ko di begal kaga kenapa - kenapa "" padahal ada saksi",2 hari yang lalu
@MalikSaputra-zo5qk,"Bner itu, cuma fto ngajak orang yg lgi nongkrong, pokonya pencitraan banget",2 hari yang lalu
@radenlevi4986,Real..😂😂😂 habis foto pulang 😅 yang ngatur lalulintas pak.ogah 😅😂,2 hari yang lalu
@subechanbehan7349,A1,2 hari yang lalu
@rhdnldy1811,Realeated di semua kota kayanya wkwkwk 😂😂,2 hari yang lalu
@GrayFullbuster-uh7hy,cahaya apa ini tuan,2 hari yang lalu
@IwanIwan-u8i,"Fakta Memang polisi mh gitu 9,99% gausah di sebut oknum lagi deh,dah muak",2 hari yang lalu
@GamingStandar,polisi konoha kan 😄😄,2 hari yang lalu
@JKahunaLaguna,"Gilak, gw tidak penah melihat fakta seterang ini 😂😂",2 hari yang lalu
@budidepok7826,"Ya elah pake di perjelas tapi emang iya lagi 😂😂😂
Semua kejadian yg udah2 dari dulu cuma skenario dan sandiwara, contoh grebek cafe tilang menilang, maling teriak maling, tawuran itu juga dibuat biar polisi seolah olah ada kerjaannya, yg lebih parah sih nyuruh orang buat ngedarin narkoba tapi yg dampak dan di tangkep orang biasa yg cuma penasaran sama narkoba.😂😂😂",2 hari yang lalu
@holidayuser9226,Ini kalo komen kok sesuai fakta sekali ya😅😅,2 hari yang lalu
@holidayuser9226,Ini kalo komen kok sesuai fakta sekali ya😅😅,2 hari yang lalu
@holidayuser9226,Bro kalo gak gitu mana bisa balik mkdal mereka bro😅,2 hari yang lalu
@krismamahendra2555,Anak SMP lewat suruh motoin dulu kalo pagi2..,2 hari yang lalu
@mahmudin8120,1000 % nyata,2 hari yang lalu
@mekanikberkahhh,Bang udah bang.. 😂,2 hari yang lalu
@pendekarkerambit4310,SOal foto di perempatan lalu ngopi. Ternyata di setiap daerah sama 😅,2 hari yang lalu
@MrGustajam,"Iya lgi anjirrr, pernah di suruh motoin  bapak"" Itu🤣🤣",2 hari yang lalu
@feriramadhans662,Kenyataan swperti itu..dan mencari kambing hitam,2 hari yang lalu
@agung-fp3sm,Bg boleh minta foto in bntr kh buat dokumen kirim ke grup (polisi)🤣🤣,2 hari yang lalu
@Panggungsandiwara-p4x,"Mau bantuan MABES gak mas, yg baik juga masih ada mas, 
Kebanyakan sih yg dibawah itu terikat yaaah system ny begitu.",2 hari yang lalu
@iwayansantikayoga,Fakta banget lagi😂,2 hari yang lalu
@dhanumenoel7566,SAVAGE,2 hari yang lalu
