Skenario,Jumlah Cluster,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
Skenario 1 (Tanpa Pemisahan),8,0.041710638737289855,4.451084240199216,19.02696831145959
Skenario 2 (Negatif),7,0.03908106037524416,3.897457077646339,3.1409880011750557
Skenario 2 (Positif),8,0.02374309463010145,4.16141929095925,2.5765032598383284
Skenario 2 (Netral),8,0.0724561231117644,2.3319224355432357,2.4743909036907086
