no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
312,N/A,Turaya Turaya,5,4 bulan lalu,"Tempatnya bagus, banyak spot foto, rekomend sih buat nongking, minuman sama cakeknya nggak kalah enakk.",N/A,Tidak
313,N/A,Gio Venty,5,4 bulan lalu,N/A,N/A,Tidak
314,N/A,RIVAN PERMANA,5,4 bulan lalu,N/A,N/A,Tidak
315,N/A,eleonora iona prasetyo,5,4 bulan lalu,"Saya pergi ke Machia saat liburan. Lokasinya di Jalan Selokan Mataram. Alasan saya ke sana karena saya tertarik dengan menu mereka, terutama matcha-nya. Saya merekomendasikan tempat ini untuk nongkrong bersama teman-teman.",N/A,Tidak
316,N/A,Tasya Dwnr,5,4 bulan lalu,N/A,N/A,Tidak
317,N/A,Ximon Pelly,5,4 bulan lalu,mantap,N/A,Tidak
318,N/A,Tri Nur Faddilah Aisyah Riski Amalia Umar_151,5,4 bulan lalu,kopii nya enak 💗💗💗,N/A,Tidak
319,N/A,Erlangga Widanta,5,4 bulan lalu,tempatnya enak dan nyaman,N/A,Tidak
320,N/A,jaskidiii,5,4 bulan lalu,N/A,N/A,Tidak
321,N/A,RIVAN PERMANA,5,4 bulan lalu,N/A,N/A,Tidak
322,N/A,Ika Dewi Anggraeni,4,4 bulan lalu,"Perdana gue visit ke sini nemenin ponakan yg emang demen bgt ama segala macem olahan Matcha. Gue pesen Matcha Latte kalo ga salah dan rasanya ya matcha plus latte. Cuma mnrt gue, sebagai pecinta latte, citarasa latte di Matcha Latte di sini masih kurengg. Mungkin karena emang konsepnya di sini mau nonjolin citarasa Matcha-nya kali ya.
But overall, it's nice!",N/A,Tidak
323,N/A,ellisa dwi ananda,5,4 bulan lalu,N/A,N/A,Tidak
324,N/A,Rena Octavia,5,4 bulan lalu,ramah dan nyaman,N/A,Tidak
325,N/A,Akira Salma Dewi,5,4 bulan lalu,N/A,N/A,Tidak
326,N/A,Muhamad Ridwan,5,4 bulan lalu,rekomendasi kalo mau nongkrong di seturan,N/A,Tidak
327,N/A,071_Asancaya SP,5,4 bulan lalu,N/A,N/A,Tidak
328,N/A,Safanah N,5,4 bulan lalu,N/A,N/A,Tidak
329,N/A,Ferhad Danial,5,4 bulan lalu,N/A,N/A,Tidak
330,N/A,Samuel D' Prasetyo,5,Diedit 5 bulan lalu,Enaaaaaak... Wajibdi coba,N/A,Tidak
331,N/A,Nabila Amalia,5,5 bulan lalu,salah satu macha terbaik di kota! 🍵,N/A,Tidak
332,N/A,Sabrina Az Zahra,5,5 bulan lalu,"Pelayanan kakak kim sangat baik, humble, tempatnya bersih dan estetik😍",N/A,Tidak
333,N/A,Yasmin Shalsabil,5,5 bulan lalu,"Pelayanan baik & menyenangkan, kaca bersih, spot foto dimana2, makanan & minuman enak, seruuu",N/A,Tidak
334,N/A,Nadira indrakania,5,5 bulan lalu,N/A,N/A,Tidak
335,N/A,Bielsa Toyra,5,5 bulan lalu,tempat nya lucu,N/A,Tidak
336,N/A,Nur Richah,5,5 bulan lalu,Matcha latte direkomendasikan,N/A,Tidak
337,N/A,sahirah aisyah,5,5 bulan lalu,"INDAH BANGET & ada photobox juga, minuman & kue-kuenya juga enak!! Buka 24 jam juga",N/A,Tidak
338,N/A,Dianissa Salsabila Dianty,5,5 bulan lalu,"tempatnya lucu, baristanya juga baik. ada photobox juga di lantai dua.",N/A,Tidak
339,N/A,486_Dewi Sekarwangi,5,5 bulan lalu,N/A,N/A,Tidak
340,N/A,Clarizsa Ayu Maharani,5,5 bulan lalu,matchanya grade seremonial direkomendasikan 🍵🍃,N/A,Tidak
341,N/A,Melya Hapsari,5,5 bulan lalu,N/A,N/A,Tidak
342,N/A,jjaehyun peace,5,5 bulan lalu,N/A,N/A,Tidak
343,N/A,Talitha Dhiya Luthfi,5,5 bulan lalu,stabil,N/A,Tidak
344,N/A,Maria Vionitha,5,5 bulan lalu,Suasananya bagus dan pistachio-nya enak sekali 🤌,N/A,Tidak
345,N/A,Anesya Putri,5,5 bulan lalu,tempatnya kalcer abisss,N/A,Tidak
346,N/A,Marchellia Saranandatio,5,5 bulan lalu,Tempatnya lucuu✨,N/A,Tidak
347,N/A,Vania Azura,5,5 bulan lalu,"bagus bgttt, rekomen pwolll",N/A,Tidak
348,N/A,Ricky,5,5 bulan lalu,Tempat yang bagus untuk berkumpul bersama teman-teman,N/A,Tidak
349,N/A,Norbertus Artha,5,5 bulan lalu,N/A,N/A,Tidak
350,N/A,aditya luthfi,5,5 bulan lalu,chesse cake nya enak,N/A,Tidak
351,N/A,Gita Ramadanti,5,5 bulan lalu,Rasanya enak🤩,N/A,Tidak
352,N/A,Naila nessa Aulia,5,5 bulan lalu,N/A,N/A,Tidak
353,N/A,Angga Yp,5,5 bulan lalu,N/A,N/A,Tidak
354,N/A,Desak Kayana,4,5 bulan lalu,N/A,N/A,Tidak
355,N/A,Theo Aditya,5,5 bulan lalu,N/A,N/A,Tidak
356,N/A,bals,5,5 bulan lalu,N/A,N/A,Tidak
