no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
109,N/A,hillarion. ep,5,sebulan lalu,"tempatnya cozy banget, desain bangunannya juga menarik & banyak spot foto easthetic 👋🏻",N/A,Tidak
110,N/A,AVRISA ZABRINA SALMA,5,sebulan lalu,"Tempat nya nyaman,banyak spot foto, worth it banget 🫶🏻",N/A,Tidak
111,N/A,Zaskia Ayudya Mecca,5,sebulan lalu,"tempat nya nyaman, makanan dan minumannya okee",N/A,Tidak
112,N/A,Regina Angelia,5,sebulan lalu,"Tempatnya nyaman dan aesthetic cocok buat foto foto , staffnya ramah semuaa harga worth it",N/A,Tidak
113,N/A,Jeje Maharan,5,sebulan lalu,"good ambience,pelayanannya oke bgt,banyak spot buat ootd gaisss",N/A,Tidak
114,N/A,Najla Fadia,5,sebulan lalu,Pelayanan yang Baik,N/A,Tidak
115,N/A,raissa,5,sebulan lalu,N/A,N/A,Tidak
116,N/A,Fanny Adelia Permatasari,5,sebulan lalu,Tempatnya bagus matchanya enak pelayanannya ramah,N/A,Tidak
117,N/A,elen julia,5,sebulan lalu,matchanya enaak! poin plus krn playlistnya juga enak enaaak ^____^,N/A,Tidak
118,N/A,RIZKA CHRISTIANNITA,5,sebulan lalu,N/A,N/A,Tidak
119,N/A,Erlis Agustiningrum,5,sebulan lalu,N/A,N/A,Tidak
120,N/A,Greecya Keyca,5,sebulan lalu,N/A,N/A,Tidak
121,N/A,Raditya Bagaskara,5,sebulan lalu,Bagus,N/A,Tidak
122,N/A,Daffa Zaharany,5,sebulan lalu,"tempatnya cozy bgtttt, cocok buat nugas, matcha nya enak, slalu jadi langganan nugas",N/A,Tidak
123,N/A,Zabrina Clarissa Al Faiqah,5,sebulan lalu,tempatnyaa enakk bangett luas dan dinginnn bangeeetttt dan matchanyaaa enakkkkk!!!! dan 24 jam jugaa <3,N/A,Tidak
124,N/A,Zhafirah Suha Nabilah,5,sebulan lalu,love the place and ambience. sangat comfy dan cozy untuk ngobrol dan nugas. super sukaa pink cloud matcha nyaa! 🍵💗,N/A,Tidak
125,N/A,Ms Choco,5,sebulan lalu,"Tempatnya nyaman, minumannya enak
Banyak spot instragramble
Pelayanannya ramah dan baik sekali
Tersedia mushola
Tersedia ruangan untuk merokok/ vape

Minus nya kamar mandi nya kurang wangi",N/A,Tidak
126,N/A,Guna Wijaya,5,sebulan lalu,N/A,N/A,Tidak
127,N/A,aurelya Desynta,5,sebulan lalu,N/A,N/A,Tidak
128,N/A,nayla zabrina25,5,sebulan lalu,N/A,N/A,Tidak
129,N/A,Diana Putry,5,sebulan lalu,"Tempatnya nyaman banget, suka banget sama suasananya disini.",N/A,Tidak
130,N/A,Ryan Aji,5,sebulan lalu,tempatnya luar dan bagus recomen bgt buat nongkrong atau nugas,N/A,Tidak
131,N/A,Ratri nur khumairoh,5,sebulan lalu,"pelayanannya ramahhh bgtt, tempatnya juga nyamann bgtt🥰",N/A,Tidak
132,N/A,Aulia Sari,5,sebulan lalu,N/A,N/A,Tidak
