no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
177,N/A,Arfan Rabbani,5,seminggu lalu,"Wifi lancar, main mobile legend no leg, kopinya mantap, karyawannya ramah, banyak diskon, ada ruang smoking indor, baristanya cantik2, the best pokoknya.",N/A,Tidak
178,N/A,Fadhil Fatahillah,5,seminggu lalu,staff ramah dan baik,N/A,Tidak
179,N/A,Siti Zahra,5,seminggu lalu,N/A,N/A,Tidak
180,N/A,abiyyu dzulfiqar,5,seminggu lalu,N/A,N/A,Tidak
181,N/A,Yuni Putri R,5,seminggu lalu,N/A,N/A,Tidak
182,N/A,hisyam abdilah,5,seminggu lalu,N/A,N/A,Tidak
183,N/A,Lintang Sustami,5,seminggu lalu,N/A,N/A,Tidak
184,N/A,Dimass Aprilnugroho,5,seminggu lalu,N/A,N/A,Tidak
185,N/A,agatha kinasih,5,seminggu lalu,N/A,N/A,Tidak
186,N/A,aurel yunistasia,5,seminggu lalu,N/A,N/A,Tidak
187,N/A,Afifa Mulia Abdzur,5,seminggu lalu,N/A,N/A,Tidak
188,N/A,Rafi Yanuar,5,seminggu lalu,N/A,N/A,Tidak
189,N/A,Cahya Budi setyawan,5,seminggu lalu,tempatnya cocok banget buat foto',N/A,Tidak
190,N/A,anaa,5,seminggu lalu,N/A,N/A,Tidak
191,N/A,Donisaputra123 saputra123,5,seminggu lalu,N/A,N/A,Tidak
192,N/A,Klaten Bersinar,5,seminggu lalu,N/A,N/A,Tidak
193,N/A,Saffanah Mj,5,seminggu lalu,N/A,N/A,Tidak
194,N/A,bagas aji,5,seminggu lalu,N/A,N/A,Tidak
195,N/A,Nelly Khusna,5,seminggu lalu,N/A,N/A,Tidak
196,N/A,Jeremy Theo,5,seminggu lalu,N/A,N/A,Tidak
197,N/A,Kurnia Khoirunisa,5,seminggu lalu,N/A,N/A,Tidak
198,N/A,Shofi Fera,5,seminggu lalu,N/A,N/A,Tidak
199,N/A,Nindi Rizki,5,seminggu lalu,N/A,N/A,Tidak
200,N/A,njul nti,5,seminggu lalu,N/A,N/A,Tidak
201,N/A,Adhitya Romanna Randha,5,seminggu lalu,N/A,N/A,Tidak
202,N/A,Azka,5,seminggu lalu,N/A,N/A,Tidak
203,N/A,titiy,5,seminggu lalu,N/A,N/A,Tidak
