no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
34,N/A,ish,4,2 hari lalu,"Enak, tapi menurut saya sedikit mahal dan sorbetnya rasanya cukup ganggu di tenggorokan kayak ganjel gt.",N/A,Tidak
35,N/A,nana bilabila,4,2 hari lalu,"nyaman, pelayanan baik👍

#alfi",N/A,Tidak
36,N/A,mllna ekaa,5,2 hari lalu,Niceee #alfi,N/A,Tidak
37,N/A,Adelia grande,5,2 hari lalu,"Pelayanannya oke bgt sihh kak diaz,gelatonya mantap euy",N/A,Tidak
38,N/A,babyglohss_,5,2 hari lalu,"enak bangettt gelatonya manisnya pas, tempatnya oke juga luas, pelayanannya bagus, ramah terutama mas diaz",N/A,Tidak
39,N/A,Rossa Indira,5,2 hari lalu,"tempat nongkrong yg nyaman dan menu yg sangat menarik bikin ngga boring buat nongki

alfi",N/A,Tidak
40,N/A,I_34_Najwa Atikah,5,2 hari lalu,"gelatonya enak, banyak varian rasa juga",N/A,Tidak
41,N/A,Fitria Alviersty,5,2 hari lalu,"teguk, teruskan",N/A,Tidak
42,N/A,Annisa Rahmadania Agustin,5,2 hari lalu,"enakk, worth it gelato in jogjaa!!

alfi",N/A,Tidak
43,N/A,Yuli Antik,5,2 hari lalu,"Nuansa dan suasana baru di jogja yang boleh dicoba untuk dikunjungi. Ada kak diaz yang melayani customer dengan ramah dan sopan, membuat nyaman.",N/A,Tidak
44,N/A,Suci Dian,5,2 hari lalu,Gelatonya enak dan tempatnya nyaman. Pelayanan kak diaz sangat ramah dan sopan,N/A,Tidak
45,N/A,Cinta Widie Kusuma Putri,5,2 hari lalu,"tempatnya estetik pelayanan oke bgt, apalagi mbak alfi",N/A,Tidak
46,N/A,Dia Andini,4,2 hari lalu,"tempatnya lucu, service nya juga oke, apalagi mba alfi kasi kita minum gratis",N/A,Tidak
47,N/A,Nisa Azizah,5,2 hari lalu,"Cozy bangett, harga standar, spot foto semua, bersih, pelayanan okee
Terimakasih kak alfi sudah bantu fotokan kami 🥰🙌🏻",N/A,Tidak
48,N/A,Dwi Safitri,5,2 hari lalu,"Gelato murah tp rasanya ga kalah saing banyak berbagai macam variant. pelayanan yang super duper baik bgtt, ditambah ketemu server atas nama kak Alfi yang super ramah poll dan baik bgt krn mau ngefotoin walaupun berkali-kali 😍😍😍",N/A,Tidak
49,N/A,Ecak,5,2 hari lalu,"pelayanan oke by kak alfi tempat juga oke, harga terjangkau 👍",N/A,Tidak
50,N/A,Elvina Anggraini,5,3 hari lalu,"segi cita rasanya enak, masih ramah dikantong, untuk pelayanannan kak diaz ramah sekalii worth it baguss bgt layanananya",N/A,Tidak
51,N/A,Ardelia Ivanka,5,3 hari lalu,"Matchaa enakkeunn, Service nya bintang 10 dari kak diaz wkwkwk lucuu, naikin gajinya pliss",N/A,Tidak
52,N/A,Fermia Dela,5,3 hari lalu,Pelayanan dari kak Diaz okeee 👍,N/A,Tidak
53,N/A,Pratiwi Putri,4,3 hari lalu,"Pertama kali ke gelato michele creme sangat menarik dan emneyenangkan. Suasananya menarik dan gelatonya seger dan enak, untuk makanannya siddnya masih bisa diperbaiki lagi tapi masih terbilang enak. Pelayanan servee dan lainnya nyaman, ramah, dan menyenangkan tertutama kak alvi yang membantu dalam serving makanan dan kak diaz yang memberikan informasi yang sesuai dan ramah. Recommended banget!!",N/A,Tidak
54,N/A,Zahira Salsabila,5,3 hari lalu,"Gelato banyak varian dan enak enak
Pelayanan kak dias dan alfina oke banget, sempet ada salah menu tp penangannya cepat dan baik",N/A,Tidak
55,N/A,Octavia Carolline,5,3 hari lalu,Tempat yang bagus dengan rasa yang enak dan pelayanan yang baik juga 🤍,N/A,Tidak
56,N/A,namira uut,5,3 hari lalu,Citaa rasaa es krim yg beda dri es krim lain yg udh pernah aku cobain🥰 ee krimnya ngga lengket🫶🏻 layanannya juga warm bgt terutama kak Diazz berasa menikmati es krim sambil teater😆🫶🏻🫶🏻,N/A,Tidak
57,N/A,banditos Land,5,3 hari lalu,"best gelato in town, pilihan rasanya banyak dan enak enak semua, buka 24 jam",N/A,Tidak
58,N/A,nabhita maulia,1,3 hari lalu,Mas mas yg ngarahin parkir ato satpamnya itu yg di es maupun resto depannya bad attitude banget. Udh kesel emosi panas2 gak jadi makan es krim gara2 pelayanan yg gak banget sekelas cafe dan resto yang wow ternyata gak menjamin crewnya.,N/A,Tidak
59,N/A,Yunita Laila Nur Azizah,4,3 hari lalu,N/A,N/A,Tidak
60,N/A,Naili Rintan Kurniasari,5,3 hari lalu,Pelayanan nya bagus bgt oleh kak Diaz keren bgt semangat bgt pelayanan nya ramah bgt juga suka🫶🏻,N/A,Tidak
61,N/A,Syahid Suplek,5,3 hari lalu,"pelayanan dari kak diaz oke banget, perfect pokoknya",N/A,Tidak
62,N/A,Salsabila Ardelia,5,3 hari lalu,"tempatnya nyaman, pelayanannya sangat baik, di service dengan baik. untuk kak diaz bikin nyaman dan lucu!! Jadi nyaman buat nongkrong, minumannya enak dan gelatonya top!!",N/A,Tidak
63,N/A,Renni Rahmadani,5,4 hari lalu,tempat yang bagus untuk nongkrong pelayanan kak diaz juga baik dan menerima untuk kritik sarannya semog berkembang makin baik.,N/A,Tidak
64,N/A,Noor Anisa,5,4 hari lalu,"Mantaaap, tempat dan rasanya enak. Kami coba gelato dan chiken wings nya. Enak. Banget ☺️ dilayanin ama kak Diaz, ramah banget.",N/A,Tidak
65,N/A,Fitri Ana Dwi Kurniawati,5,4 hari lalu,"Rasnya enak, tempat sangat luas dan nyaman. Kakak kakaknya sangat ramah, terutama kak Diaz yang sangat informatif, ramah dan sangat membantu ✨",N/A,Tidak
66,N/A,Nur Sesa Oktavia,5,4 hari lalu,"Variasi es banyak, tempat sangat nyaman luas dan designnya lucu, kakak kakaknya sangat ramah, terutama kakak Diaz yg sudah menawarkan minuman dan password wifi",N/A,Tidak
67,N/A,Dika Kartika Oktaviani,5,4 hari lalu,"Tempat makannya aestetik, rasa es krimnya enak, pelayanan dari kak diaz sangat ramah dan membuat nyaman",N/A,Tidak
68,N/A,Zahra Fadilla Ekasuci,5,4 hari lalu,"Es krimnya enak banget dan harganya terjangkau 💜 Pelayanan juga ramah serta tanggap, terima kasih mas Diaz 🙌",N/A,Tidak
69,N/A,Shikari Watanabe,5,4 hari lalu,"Gelatonya banyak varian dan affordable. Venue juga comfy dan eye catching

-Served by diaz",N/A,Tidak
70,N/A,renata alexandra,5,4 hari lalu,"Enak banget tempatnya comfy, pelayanan dari kak diaz juga ramah dan makanan apalagi gelato nya enak enak. Bakal kesini lagi deh!!",N/A,Tidak
71,N/A,Raja,5,4 hari lalu,"sangat baik dalam melayani dan tempatnya sangat menarik

~yang melayani diaz",N/A,Tidak
72,N/A,ghina nisa,5,4 hari lalu,"Pelayanan dari mas Diaz sangat memuaskan, pelayanannya ramah, bagus. Makanan dan minumannnya enak enak bangettt, gelato nya jg bervariasi rasa rasa nyaaa",N/A,Tidak
73,N/A,aura prasetya,5,5 hari lalu,"Tempatnya cozy dan suka banget sama pelayanannya, makasih ka diaz suka dan ramah banget",N/A,Tidak
74,N/A,sekar rahmawati,5,5 hari lalu,"untuk rasa gelatonya enak dan ambience cafe seru dan nyaman, untuk ka Diaz pelayanananya super ramah dan baik bangettt",N/A,Tidak
75,N/A,Talitha Salsabila,5,5 hari lalu,"Pesan rasa dark choco sama strawberry cheesecakena, enak, gak terlalu manis, waffle conenya juga enak bgt gak yang plain gitu. Pelayanannya juga baik, Kak Diaz ramah banget, sukses terus kak",N/A,Tidak
76,N/A,Laura Kusumawati,5,5 hari lalu,"Gelatonya enak, tempatnya nyaman, pelayanannya juga okeee bgtt, kaka2nya ramahh puoll, terutama kak diaz, dapet free air mineral jugaa",N/A,Tidak
77,N/A,Agatha Retno Pinasti,5,5 hari lalu,"rasa gelatonya enakk!! servicenya juga great! ramah banget kak diaz, suasananya juga estetik banget~",N/A,Tidak
78,N/A,Nirmala Aninditya,5,5 hari lalu,"worth the price bgtttt soalnya rasa sama fasilitas yang disajikan oke bgt, bisa buat nongkrong sambil mam eskrimmm, apalagi pelayanannya terutama dari kak diaz oke bgttt🤩🤩🤩RECOMENDEDDD!!!",N/A,Tidak
79,N/A,Isnaini Febriandini,5,5 hari lalu,varian gelato banyakk🥰 kak diaz pelayannya baik dan humble 😍 …,N/A,Tidak
80,N/A,MELMAN GLORY,5,5 hari lalu,"Suka sama gelato inii...
Banyak varian dan enak semua
Staff sangat ramah dan helpful
Tempat sangat nyaman. Ac adem
Betah berlama² disini",N/A,Tidak
81,N/A,Yatari Putri,5,5 hari lalu,"Enjoyyy! (Tagline nya Michael Kreme terngiang-ngiang).

Variannya banyak, tekstur creamyy, dan paling penting ga terlalu manis. Jadi ga terlalu merasa bersalah.
Servicenya juga oke. Dibantu sama Mas Diaz yg ramah puoll..",N/A,Tidak
82,N/A,Siti Lizaria Ardianti,5,5 hari lalu,"Rasanya tidak terlalu manis, rasanya creme sekali, pelayanan ramah @ diaz",N/A,Tidak
83,N/A,Adellia Rahmawati,5,5 hari lalu,"gelatonya enak, pas rasanya, staf atas nama diaz ramah bgt",N/A,Tidak
84,N/A,Araafanyalic Zeffalo 'Slr,5,5 hari lalu,"Tempat nya bagus, rasanya enak, mas diaz juga baik bgtt.
Luvv🤞🤞",N/A,Tidak
85,N/A,Iinicipa A,5,5 hari lalu,"gelatonya enak pas banget ga gampang mencair, untuk tempatnya banyak sekali spot foto estetik terus ada mas Diaz yang ramah sekali selaku GRO disinii bintang 5 deh 🤩 …",N/A,Tidak
86,N/A,Lenny Kaka,5,5 hari lalu,"Pelayanan bagus rasa enak
Mas diaz mantap",N/A,Tidak
87,N/A,Tempat Penyimpanan,5,5 hari lalu,"Lucu tempatnya, gelatonya banyak varian, sayang banget cuma bisa taste test 2 rasa. Jadi gatau yg enak apa. Untuk rasa ok",N/A,Tidak
88,N/A,Reza Aditya,5,5 hari lalu,"Tempat parkirnya luas, harga pas, jadi makannya puas",N/A,Tidak
89,N/A,silvia maharani,5,5 hari lalu,Terbaik,N/A,Tidak
90,N/A,zahira,5,5 hari lalu,N/A,N/A,Tidak
91,N/A,Yohannes Utomo,5,5 hari lalu,"Gelato enak, tempat luas. Cukup banyak tempat untuk yg suka berfoto",N/A,Tidak
92,N/A,Deby Melisa,5,5 hari lalu,"Ini kunjungan pertama saya ✋
Anda mendapatkan gelato yang sangat enak dengan harga yang sangat murah, tempatnya bagus, suasananya nyaman, dan stafnya sangat ramah 👍🏻",N/A,Tidak
93,N/A,Yeni Wahyuningsih,5,5 hari lalu,Tempatnya cozy sama gelatonya oke banget✨💯,N/A,Tidak
94,N/A,Rara,5,5 hari lalu,"tempatnyaa enak, pelayanannya ramah"" banget🥰",N/A,Tidak
