username,comment,time,tokens,cleaned_tokens,filtered_tokens
@brayyy001,"bisa jadi iya, bisa juga enggak bree.... hacker kan bukan cuman dia...",2 hari yang lalu,"['bisa', 'jadi', 'iya', ',', 'bisa', 'juga', 'enggak', 'bree', '....', 'hacker', 'kan', 'bukan', 'cuman', 'dia', '...']","['bisa', 'jadi', 'iya', 'bisa', 'juga', 'enggak', 'bree', 'hacker', 'kan', 'bukan', 'cuman', 'dia']","['iya', 'bree', 'hacker', 'cuman']"
@yantiyansheen3542,😂😂😂😂,2 hari yang lalu,['😂😂😂😂'],[],[]
@haririn-b2l,jiahahahahahaaa😂😅😂😅😂😅😂😅,2 hari yang lalu,['jiahahahahahaaa😂😅😂😅😂😅😂😅'],['jiahahahahahaaa'],['jiahahahahahaaa']
@jagadgood,"bisa aja. tapi gak ada cara untuk membuktikannya, weeek😂..",2 hari yang lalu,"['bisa', 'aja', '.', 'tapi', 'gak', 'ada', 'cara', 'untuk', 'membuktikannya', ',', 'weeek😂', '..']","['bisa', 'aja', 'tapi', 'gak', 'ada', 'cara', 'untuk', 'membuktikannya', 'weeek']","['aja', 'gak', 'membuktikannya', 'weeek']"
@prasetyowibowo3308,kl nd tau beliau diem aja jgn asal ceplos internet luas wawasan bnyk,2 hari yang lalu,"['kl', 'nd', 'tau', 'beliau', 'diem', 'aja', 'jgn', 'asal', 'ceplos', 'internet', 'luas', 'wawasan', 'bnyk']","['kl', 'nd', 'tau', 'beliau', 'diem', 'aja', 'jgn', 'asal', 'ceplos', 'internet', 'luas', 'wawasan', 'bnyk']","['kl', 'nd', 'tau', 'beliau', 'diem', 'aja', 'jgn', 'ceplos', 'internet', 'luas', 'wawasan', 'bnyk']"
@rizkyaffan3738,​ @tarrantsde  yang benar????,2 hari yang lalu,"['\u200b', '@', 'tarrantsde', 'yang', 'benar', '?', '?', '?', '?']","['tarrantsde', 'yang', 'benar']",['tarrantsde']
@teknisiabalabal-h3e,"gw juga mikir gitu jir,,",2 hari yang lalu,"['gw', 'juga', 'mikir', 'gitu', 'jir', ',', ',']","['gw', 'juga', 'mikir', 'gitu', 'jir']","['gw', 'mikir', 'gitu', 'jir']"
@waterworld0712,"kalo bjorka sih bukan om, kalo kenal mungkin iya",2 hari yang lalu,"['kalo', 'bjorka', 'sih', 'bukan', 'om', ',', 'kalo', 'kenal', 'mungkin', 'iya']","['kalo', 'bjorka', 'sih', 'bukan', 'om', 'kalo', 'kenal', 'mungkin', 'iya']","['kalo', 'bjorka', 'sih', 'om', 'kalo', 'kenal', 'iya']"
@farhatzulhamsalma1577,​ @uwaisalqarni_world iya e aku juga😂,2 hari yang lalu,"['\u200b', '@', 'uwaisalqarni_world', 'iya', 'e', 'aku', 'juga😂']","['uwaisalqarniworld', 'iya', 'e', 'aku', 'juga']","['uwaisalqarniworld', 'iya', 'e']"
@mydemocrazy,"intinya ga mungkin 1 orang. itu kan da d blg ada kemungkinan 1 kelompok. kya main dota aja, 1 id bisa smua org pake. makanya polisi lg ngelawak nangkep hacker cmn 1 orang.. udah pasti bukan 😂😂😂",2 hari yang lalu,"['intinya', 'ga', 'mungkin', '1', 'orang', '.', 'itu', 'kan', 'da', 'd', 'blg', 'ada', 'kemungkinan', '1', 'kelompok', '.', 'kya', 'main', 'dota', 'aja', ',', '1', 'id', 'bisa', 'smua', 'org', 'pake', '.', 'makanya', 'polisi', 'lg', 'ngelawak', 'nangkep', 'hacker', 'cmn', '1', 'orang', '..', 'udah', 'pasti', 'bukan', '😂😂😂']","['intinya', 'ga', 'mungkin', '1', 'orang', 'itu', 'kan', 'da', 'd', 'blg', 'ada', 'kemungkinan', '1', 'kelompok', 'kya', 'main', 'dota', 'aja', '1', 'id', 'bisa', 'smua', 'org', 'pake', 'makanya', 'polisi', 'lg', 'ngelawak', 'nangkep', 'hacker', 'cmn', '1', 'orang', 'udah', 'pasti', 'bukan']","['intinya', 'ga', '1', 'orang', 'da', 'd', 'blg', '1', 'kelompok', 'kya', 'main', 'dota', 'aja', '1', 'id', 'smua', 'org', 'pake', 'polisi', 'lg', 'ngelawak', 'nangkep', 'hacker', 'cmn', '1', 'orang', 'udah']"
@joelfarhan,salah satunya kaliii🤣,2 hari yang lalu,"['salah', 'satunya', 'kaliii🤣']","['salah', 'satunya', 'kaliii']","['salah', 'satunya', 'kaliii']"
@errsuperme,cees itu doi,2 hari yang lalu,"['cees', 'itu', 'doi']","['cees', 'itu', 'doi']","['cees', 'doi']"
