Method,Accuracy,Precision,Recall,F1-Score
TF-IDF,0.6285714285714286,0.543069833392414,0.6285714285714286,0.5807962529274004
Bag of Words,0.5571428571428572,0.5332752613240418,0.5571428571428572,0.5318403930073949
Word2Vec,0.5285714285714286,0.5334776334776334,0.5285714285714286,0.5297887576083065
GloVe,0.5,0.5248037676609105,0.5,0.48250517598343684
