Method,Accuracy,Precision,Recall,F1-Score
TF-IDF,0.5714285714285714,0.5054753608760578,0.5714285714285714,0.531603413584958
Bag of Words,0.5142857142857142,0.5162020905923345,0.5142857142857142,0.5017661524703779
Word2Vec,0.4857142857142857,0.41565153193060167,0.4857142857142857,0.4420640642702647
GloVe,0.38571428571428573,0.3559113300492611,0.38571428571428573,0.36913933524103015
