Model,Accuracy,Val_Accuracy
LSTM Simple,0.42857142857142855,0.5
Bidirectional LSTM,0.5714285714285714,0.6964285969734192
Stacked LSTM,0.42857142857142855,0.3571428656578064
LSTM + Word2Vec,0.42857142857142855,0.5
